name,artists,genres,release_year,duration,popularity,Danceability,Energy,Key,Liveness,Valence,Tempo,Time Signature
Do It Like That,Ricki-Lee,"australian dance,australian pop,australian talent show",2012-01-01,165581,10,0.401,0.888,10.0,0.167,0.526,198.954,4.0
Golden Brown,The Stranglers,"glam rock,new romantic,new wave,new wave pop,protopunk,pub rock,zolo",1981,206760,73,0.562,0.383,6.0,0.138,0.599,93.764,3.0
Runnin' (Dying To Live),"2Pac, The Notorious B.I.G.","g funk,gangster rap,hip hop,rap,west coast rap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",2003-01-01,230786,0,0.531,0.799,10.0,0.331,0.631,165.964,4.0
Where Did All the Love Go?,Kasabian,"britpop,garage rock,leicester indie,modern rock,rock",2009,258200,58,0.656,0.833,1.0,0.328,0.71,134.007,4.0
We R Who We R,Kesha,"dance pop,pop",2010-11-19,204760,0,0.734,0.802,8.0,0.124,0.671,119.995,4.0
For the First Time,The Script,"celtic rock,pop",2011-01-18,252853,64,0.396,0.629,9.0,0.183,0.358,173.794,4.0
Flaunt it,TV Rock feat. Seany B,,2006-01-01,304560,0,0.898,0.507,11.0,0.0991,0.839,127.329,4.0
Paparazzi,Lady Gaga,"art pop,dance pop,pop",2008-01-01,208306,76,0.762,0.692,5.0,0.094,0.397,114.906,4.0
lie to me,"Tate McRae, Ali Gatie","alt z,pop,canadian hip hop",2020-10-14,177440,64,0.642,0.392,4.0,0.352,0.0479,138.065,4.0
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,"hollywood,movie tunes,show tunes",2013-01-01,223840,79,0.543,0.485,8.0,0.12,0.371,136.961,4.0
Eagle Rock - 2011 Remaster,Daddy Cool,australian rock,1971-07-01,250066,61,0.618,0.776,2.0,0.0808,0.674,125.536,4.0
Unorthodox - Radio Edit,"Wretch 32, Example","grime,uk hip hop,hip house,uk dance",2011-01-01,185341,1,0.724,0.956,2.0,0.167,0.556,112.011,4.0
Rain,The Script,"celtic rock,pop",2017-09-01,209346,63,0.689,0.586,6.0,0.356,0.611,93.02,4.0
Can't Take My Eyes Off of You - (I Love You Baby),Ms. Lauryn Hill,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",1998-08-25,221466,73,0.747,0.662,1.0,0.138,0.63,88.926,4.0
Rich Girl,Selwyn,,2002-08-30,238933,45,0.74,0.567,8.0,0.402,0.916,90.094,4.0
Beautiful Day,U2,"irish rock,permanent wave,rock",2000-01-01,248400,78,0.536,0.928,11.0,0.2,0.389,136.258,4.0
Hold My Girl,George Ezra,"folk-pop,neo-singer-songwriter",2018-03-23,211763,76,0.614,0.527,10.0,0.11,0.354,121.941,4.0
Hey Sexy Lady,"Shaggy, Brian & Tony Gold","dance pop,pop rap,reggae fusion",2002-10-29,199893,72,0.957,0.554,3.0,0.249,0.64,101.783,4.0
Too Young to Be Married - 1999 Remaster,The Hollies,"album rock,british invasion,classic rock,folk rock,mellow gold,merseybeat,soft rock",1970-11-01,239373,29,0.482,0.327,4.0,0.0749,0.361,93.701,4.0
Don't You Want Me - Edit,Felix,"hardcore techno,hip house,rave",2014-11-28,189773,43,0.562,0.802,9.0,0.0919,0.316,127.964,4.0
Whatever You Like,T.I.,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",2008-09-07,249533,77,0.68,0.687,9.0,0.261,0.467,150.053,4.0
HEAT,"Paul Woolford, Amber Mark","house,uk dance,uk house,alternative r&b,indie soul,nyc pop",2021-02-19,187277,57,0.651,0.542,1.0,0.0812,0.581,122.03,4.0
Breakin' In A Brand New Broken Heart,Connie Francis,"adult standards,brill building pop,easy listening,rock-and-roll,rockabilly",1987-01-12,156893,0,0.256,0.163,0.0,0.135,0.261,83.139,4.0
Jackson’s Last Stand - Radio Edit,Ou Est Le Swimming Pool,"australian dance,neo-synthpop",2010-01-01,190000,28,0.602,0.896,10.0,0.344,0.457,120.016,4.0
Do It Now - Radio Edit,Mashd N Kutcher,,2014-12-08,166942,38,0.872,0.987,5.0,0.0522,0.843,128.01,4.0
Right in the Night (feat. Plavka) - Fall in Love with Music,"Jam & Spoon, Plavka","bubble trance,frankfurt electronic,german techno,german trance,trance",1993,364400,0,0.74,0.946,0.0,0.124,0.715,137.015,4.0
All I Have (feat. LL Cool J),"Jennifer Lopez, LL COOL J","dance pop,pop,urban contemporary,east coast hip hop,golden age hip hop,hip hop,old school hip hop,queens hip hop,rap",2002-11-19,254466,58,0.699,0.668,1.0,0.141,0.472,83.074,4.0
Power of a Woman,Eternal,"europop,girl group,new wave pop",1995,264493,36,0.75,0.739,0.0,0.0558,0.911,106.39,4.0
Jump,Kris Kross,"gangster rap,hardcore hip hop,hip hop,hip pop,old school atlanta hip hop",1992-03-17,195106,71,0.749,0.745,2.0,0.333,0.481,101.972,4.0
Faded,Alan Walker,electro house,2015-12-04,212626,1,0.589,0.651,6.0,0.111,0.166,90.011,4.0
Poison & Wine,The Civil Wars,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler",2012-03-05,219466,48,0.284,0.171,1.0,0.103,0.192,153.948,4.0
The Old Man Down The Road,John Fogerty,"album rock,blues rock,classic rock,country rock,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,southern rock,swamp rock",1985,213750,0,0.768,0.809,9.0,0.0608,0.737,133.838,4.0
Whole Again,Atomic Kitten,"candy pop,dance pop,europop,girl group",2003-04-22,185866,50,0.742,0.715,4.0,0.111,0.652,94.011,4.0
Fortune Teller - Mono,The Rolling Stones,"album rock,british invasion,classic rock,rock",1966-01-01,139800,17,0.476,0.936,1.0,0.0722,0.516,172.567,4.0
You Don't Scare Me,Josh Pyke,"australian alternative rock,australian indie,australian singer-songwriter",2008-10-04,218253,0,0.524,0.734,6.0,0.23,0.689,90.97,4.0
Hopelessly Devoted To You - From “Grease” Soundtrack,Olivia Newton-John,"adult standards,australian dance,disco,mellow gold,soft rock",2005-01-01,185026,0,0.375,0.481,9.0,0.135,0.38,110.368,3.0
Too Fake,Hockey,portland indie,2009-01-01,247413,17,0.668,0.653,1.0,0.11,0.506,138.45,4.0
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,"pop,singer-songwriter pop,uk pop",2013-01-01,300840,74,0.581,0.0549,10.0,0.0718,0.234,152.037,4.0
I Will Always Love You,Whitney Houston,dance pop,1992-11-17,271093,81,0.332,0.214,4.0,0.0839,0.11,67.531,4.0
Kiss You,One Direction,"boy band,pop,post-teen pop,talent show",2012-11-09,182960,0,0.63,0.934,4.0,0.324,0.905,89.992,4.0
Pump It,Black Eyed Peas,"dance pop,pop,pop rap",2005-01-01,213066,80,0.648,0.931,1.0,0.752,0.744,153.649,4.0
The Distance,CAKE,"alternative rock,pop rock,post-grunge,sacramento indie",1996-09-17,179600,64,0.456,0.752,11.0,0.0573,0.897,183.569,4.0
Jar of Hearts,Christina Perri,pop,2011-05-10,246587,75,0.349,0.348,3.0,0.12,0.0886,74.541,4.0
What You've Done to Me,Samantha Jade,"australian pop,australian talent show",2012-12-07,212960,46,0.646,0.757,2.0,0.11,0.375,127.541,4.0
Hazard,Richard Marx,"new wave pop,soft rock",1997-01-01,316733,51,0.674,0.546,7.0,0.0672,0.63,124.846,4.0
(If You're Not In It For Love) I'm Outta Here!,Shania Twain,"canadian country,canadian pop,contemporary country,country,country dawn",1995-01-01,270026,0,0.772,0.761,5.0,0.0814,0.868,120.056,4.0
Gold Digger,"Kanye West, Jamie Foxx","chicago rap,hip hop,rap,contemporary r&b,hip pop,r&b,southern hip hop,trap,urban contemporary",2005-08-30,207626,56,0.686,0.672,1.0,0.0653,0.625,92.472,4.0
Same Love (feat. Mary Lambert),"Macklemore & Ryan Lewis, Mary Lambert","pop rap,seattle hip hop,neo mellow",2012-10-09,320034,0,0.56,0.475,8.0,0.0994,0.308,84.899,4.0
Break Me Shake Me,Savage Garden,"boy band,dance pop,pop rock",1997-03-04,203066,0,0.753,0.676,0.0,0.137,0.643,110.16,4.0
On the Rebound,Floyd Cramer,"easy listening,honky-tonk piano,nashville sound",1995,127400,21,0.573,0.687,9.0,0.122,0.962,151.025,4.0
Reuben James,Kenny Rogers & The First Edition,psychedelic rock,2016-09-23,169106,0,0.712,0.61,4.0,0.0662,0.886,92.772,4.0
Lost In Love,Air Supply,soft rock,1980-01-01,234160,47,0.587,0.421,7.0,0.116,0.498,114.393,4.0
Fly Away,Lenny Kravitz,"permanent wave,rock",1998-05-12,221332,78,0.587,0.872,7.0,0.622,0.735,159.925,4.0
Blowin' in the Wind,"Peter\, Paul and Mary","american folk revival,folk,folk rock,mellow gold,singer-songwriter,soft rock",1963,177360,58,0.381,0.0848,5.0,0.112,0.557,155.036,4.0
I Ran (So Far Away),A Flock Of Seagulls,"new romantic,new wave,new wave pop,synthpop",1986-07-01,307400,43,0.498,0.659,2.0,0.156,0.647,146.227,4.0
Single Ladies (Put a Ring on It),Beyoncé,"pop,r&b",2008,192586,72,0.426,0.584,1.0,0.192,0.272,193.438,4.0
Four And Twenty Hours,Nana Mouskouri,,2011-11-15,213603,12,0.582,0.441,10.0,0.148,0.865,132.338,4.0
New Divide,Linkin Park,"alternative metal,nu metal,post-grunge,rap metal,rock",2011-05-27,268613,55,0.493,0.808,5.0,0.0983,0.38,117.971,4.0
You're My World (Il Mio Mondo) - Mono,Cilla Black,"brill building pop,merseybeat,rock-and-roll",2009-09-04,178653,10,0.388,0.416,8.0,0.0549,0.449,96.995,4.0
Little Talks,Of Monsters and Men,"folk-pop,metropopolis,modern rock,stomp and holler",2012-01-01,266600,83,0.457,0.757,1.0,0.146,0.417,102.961,4.0
Boys Like You,"360, Gossling","australian hip hop,australian indie,australian pop",2011-09-30,220626,55,0.712,0.688,3.0,0.134,0.515,145.964,4.0
You're The One That I Want - From “Grease”,"John Travolta, Olivia Newton-John","hollywood,adult standards,australian dance,disco,mellow gold,soft rock",2005-01-01,167613,0,0.739,0.766,0.0,0.137,0.862,106.6,4.0
Starstruck (with Kylie Minogue),"Years & Years, Kylie Minogue","gauze pop,pop,uk pop,australian dance,australian pop,dance pop,eurodance,new wave pop",2021-05-21,206039,40,0.613,0.867,9.0,0.318,0.66,113.971,4.0
"Hey Baby (Uhh, ahh)","Anton, DJ Ötzi","classic schlager,oktoberfest,schlager",2010-04-24,218773,50,0.662,0.961,7.0,0.35,0.834,135.1,4.0
Picture Of You,Boyzone,boy band,1996-10-28,206040,64,0.768,0.919,0.0,0.366,0.862,116.649,4.0
I Like It,"Enrique Iglesias feat. Pitbull, Jason Nevins",,2010-01-01,216133,0,0.657,0.892,10.0,0.133,0.746,128.973,4.0
Home - feat. Michael Bublé,"Blake Shelton, Michael Bublé","classic oklahoma country,contemporary country,country,country road,adult standards,canadian pop,jazz pop,lounge",2012-10-02,227040,0,0.576,0.455,7.0,0.0912,0.206,127.856,4.0
Two of Us,Louis Tomlinson,pop,2019-03-07,217855,52,0.614,0.605,0.0,0.124,0.329,127.107,4.0
Radio Ga Ga - Remastered 2011,Queen,"classic rock,glam rock,rock",1984-02-27,348226,77,0.744,0.502,5.0,0.189,0.66,112.344,4.0
Be Kind (with Halsey),"Marshmello, Halsey","brostep,edm,pop,progressive electro house,electropop,etherpop,indie poptimism,pop",2020-05-01,172761,77,0.63,0.633,4.0,0.0541,0.452,93.995,4.0
Some Girls,Racey,"australian rock,glam rock",1993,207480,50,0.728,0.844,4.0,0.0467,0.928,91.3,4.0
Time After Time,Cyndi Lauper,"dance pop,new wave pop,permanent wave,soft rock",1983,241333,0,0.726,0.449,0.0,0.0824,0.294,130.388,4.0
Zombie,The Cranberries,"irish rock,pop rock,rock",1994-10-03,306440,0,0.309,0.649,7.0,0.367,0.313,166.915,4.0
Looking Through the Eyes of a Beautiful Girl,Autumn,,1971,198533,0,0.675,0.92,0.0,0.347,0.967,121.116,4.0
Hangin' Tough,New Kids On The Block,boy band,1988-09-02,256560,54,0.763,0.552,6.0,0.28,0.744,90.775,4.0
Turn A Blind Eye,Hunters & Collectors,australian rock,2011-06-03,286733,0,0.582,0.806,11.0,0.989,0.583,125.451,4.0
Yummy,Justin Bieber,"canadian pop,pop",2020-01-03,210426,69,0.687,0.514,9.0,0.116,0.494,145.921,4.0
Don't Stand So Close To Me,The Police,"album rock,classic rock,permanent wave,rock",2002-01-01,237261,0,0.796,0.531,2.0,0.0412,0.591,140.369,4.0
Boys In Town,Divinyls,"australian rock,new wave pop",1991-01-01,171973,33,0.495,0.839,1.0,0.0939,0.742,158.425,4.0
Raindrops,Dee Clark,"chicago soul,doo-wop,rhythm and blues",2011-06-30,172460,21,0.342,0.764,8.0,0.384,0.652,121.16,1.0
Shadow of the Day,Linkin Park,"alternative metal,nu metal,post-grunge,rap metal,rock",2007-05-14,290360,69,0.534,0.393,11.0,0.107,0.0641,110.007,4.0
Love Lies (with Normani),"Khalid, Normani","pop,pop r&b,pop,r&b",2018-02-14,201707,76,0.708,0.648,6.0,0.134,0.338,143.955,4.0
And When I Die,"Blood\, Sweat & Tears","album rock,blues rock,classic rock,country rock,folk,folk rock,heartland rock,jazz rock,mellow gold,singer-songwriter,soft rock",1968-12,244973,49,0.628,0.439,9.0,0.0555,0.507,127.589,4.0
Cry for You,September,"swedish electropop,swedish pop",2007-03-08,209800,72,0.767,0.881,9.0,0.0551,0.961,130.018,4.0
Under The Water,Merril Bainbridge,,1995-07-31,253266,36,0.625,0.641,6.0,0.121,0.608,103.92,4.0
Superstar,Dami Im,"australian pop,australian talent show,talent show",2016-04-22,194640,18,0.495,0.373,10.0,0.111,0.172,76.91,4.0
Beverly Hills,Weezer,"alternative rock,modern power pop,modern rock,permanent wave,rock",2005-05-10,196093,75,0.693,0.823,5.0,0.328,0.741,87.904,4.0
Seven Nation Army,The White Stripes,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",2003-04-01,231920,0,0.745,0.466,4.0,0.272,0.303,123.889,4.0
3AM Eternal - Live at the S.S.L.,The KLF,"acid house,ambient house,big beat,hip house",2021-01-01,232411,52,0.616,0.977,1.0,0.942,0.744,119.303,4.0
New Americana,Halsey,"electropop,etherpop,indie poptimism,pop",2015-08-28,183808,0,0.444,0.711,0.0,0.34,0.371,86.976,4.0
These Days - Two Hands Version,Powderfinger,"australian alternative rock,australian rock",2011-01-01,278546,39,0.368,0.64,9.0,0.0717,0.124,82.347,4.0
Love Is A War,Rogue Traders,"australian dance,australian pop,australian rock,dance rock",2003,213160,7,0.55,0.961,1.0,0.823,0.604,167.084,4.0
Two Is Better Than One (feat. Taylor Swift),"BOYS LIKE GIRLS, Taylor Swift","neon pop punk,pop punk,pop",2009-09-07,242840,68,0.521,0.702,0.0,0.0962,0.25,127.976,4.0
I Love You More and More Every Day - Remastered,Al Martino,"adult standards,easy listening",2018-09-28,135709,0,0.359,0.275,8.0,0.319,0.423,103.249,4.0
Mr. Vain - Original Radio Edit,Culture Beat,"eurodance,europop,german techno,hip house",1993-01-01,257466,73,0.703,0.997,9.0,0.123,0.391,132.872,4.0
Wish You Were Here,Pink Floyd,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",1975-09-12,334743,79,0.481,0.262,7.0,0.832,0.375,122.861,4.0
Snowbird,Liv Maessen,,2018-04-04,126160,0,0.522,0.424,5.0,0.221,0.875,108.786,4.0
Amazing,Alex Lloyd,"australian alternative rock,australian rock",2006-01-01,202133,30,0.497,0.778,9.0,0.071,0.454,99.973,4.0
Seven Nation Army,The White Stripes,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,permanent wave,punk blues,rock",2003-04-01,231800,7,0.75,0.462,0.0,0.307,0.309,123.865,4.0
Harper Valley P.T.A.,Jeannie C. Riley,classic country pop,2013-09-30,194400,55,0.795,0.448,4.0,0.0659,0.96,122.318,4.0
I Think I'm in Love with You,Jessica Simpson,"dance pop,post-teen pop",1999-11-16,197693,55,0.715,0.815,9.0,0.233,0.804,106.001,4.0
The Loved One,The Loved Ones,australian rock,1995-01-01,173866,30,0.49,0.496,4.0,0.152,0.682,100.063,4.0
Teardrop,Massive Attack,"downtempo,electronica,trip hop",1998-01-01,330773,75,0.615,0.419,11.0,0.135,0.216,76.997,4.0
Don't Go,Yazoo,"new romantic,new wave,new wave pop,synthpop",1982-07-01,188466,69,0.803,0.411,6.0,0.0411,0.654,126.236,4.0
Miss Freelove '69,Hoodoo Gurus,"australian rock,power pop",1992-01-01,254117,20,0.542,0.971,9.0,0.131,0.639,131.363,4.0
What It's Like,Everlast,,1998-09-08,304306,0,0.652,0.584,0.0,0.114,0.417,85.191,4.0
Brand New Me,Alicia Keys,"neo soul,pop,r&b",2012-11-26,233560,54,0.383,0.328,0.0,0.152,0.154,145.222,4.0
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","pop,dance pop,edm,pop,pop dance,contemporary country,country,country pop,country road,modern country rock,modern alternative rock",2017-09-08,174800,0,0.659,0.717,8.0,0.0769,0.71,103.036,4.0
Weather With You,Crowded House,"australian rock,permanent wave",1991-06-24,224466,73,0.643,0.614,2.0,0.214,0.891,93.982,4.0
The Best Thing (2008) - Radio Edit,Hook N Sling,"australian dance,progressive electro house",2009-01-01,242904,31,0.665,0.768,0.0,0.13,0.484,128.009,4.0
Poetry In Motion,Johnny Tillotson,"doo-wop,merseybeat,nashville sound,rock-and-roll",2001-04-02,154466,0,0.483,0.708,8.0,0.0904,0.879,135.247,4.0
Levels - Radio Edit,Avicii,"edm,pop,pop dance",2011-10-28,199903,0,0.62,0.881,1.0,0.311,0.415,126.035,4.0
It's You,Ali Gatie,canadian hip hop,2019-06-14,212606,1,0.732,0.463,11.0,0.194,0.397,95.971,4.0
Dancing On My Own,Calum Scott,pop,2018-03-09,260285,83,0.681,0.174,1.0,0.0983,0.231,112.672,4.0
1981,Gyroscope,australian alternative rock,2008,218173,25,0.441,0.96,7.0,0.124,0.303,151.944,4.0
Down Among The Dead Men,Flash and the Pan,,1995-01-01,289160,35,0.51,0.915,9.0,0.299,0.657,142.793,4.0
The Wanderer,Donna Summer,"adult standards,disco,hi-nrg,new wave pop,soft rock",1980-10-20,227173,34,0.783,0.631,5.0,0.152,0.77,137.179,4.0
It's Not Over,Daughtry,"alternative metal,neo mellow,pop rock,post-grunge",2006-11-20,215026,58,0.426,0.92,10.0,0.245,0.296,145.944,4.0
Hotel Room Service,Pitbull,"dance pop,miami hip hop,pop",2009-06-11,238506,66,0.849,0.599,6.0,0.0763,0.761,126.003,4.0
One Thing,One Direction,"boy band,pop,post-teen pop,talent show",2012-05-25,197600,76,0.713,0.718,2.0,0.0838,0.656,126.999,4.0
Lucky,"Jason Mraz, Colbie Caillat","acoustic pop,dance pop,neo mellow,pop,dance pop,neo mellow,pop",2008-05-12,189613,76,0.625,0.414,0.0,0.151,0.669,130.088,4.0
Born Slippy (Nuxx),Underworld,"big beat,electronica",2003-01-01,454026,0,0.58,0.954,10.0,0.56,0.331,140.037,4.0
Dreamin',Johnny Burnette,"doo-wop,rock-and-roll,rockabilly",1999,140160,17,0.5,0.46,9.0,0.352,0.759,75.058,4.0
Counting Stars,OneRepublic,"piano rock,pop",2014-01-01,257840,78,0.664,0.705,1.0,0.115,0.477,122.017,4.0
Knockin' On Heaven's Door,Bob Dylan,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",1973-07-13,149880,78,0.513,0.396,7.0,0.11,0.229,140.208,4.0
Higher,Creed,"alternative metal,nu metal,post-grunge,rock",1999-01-01,316733,75,0.459,0.83,2.0,0.206,0.431,155.827,4.0
Substitute,Peaches,,1978-07-01,180962,16,0.451,0.844,4.0,0.0602,0.551,103.537,4.0
Things,Bobby Darin,"adult standards,easy listening,lounge,rock-and-roll,vocal jazz",2004-11-23,151413,32,0.562,0.558,4.0,0.107,0.839,174.704,4.0
Let Me In,The Sensations,"classic girl group,early reggae,rocksteady",2014-02-05,188104,4,0.61,0.848,10.0,0.495,0.837,130.446,4.0
Mmm Mmm Mmm Mmm,Crash Test Dummies,"canadian rock,pop rock,post-grunge",1994-03-28,235173,54,0.58,0.575,3.0,0.0813,0.37,92.934,4.0
Stone Cold Sober,Paloma Faith,"british soul,talent show",2009-09-24,174333,0,0.566,0.927,4.0,0.385,0.836,105.161,4.0
Leaning on a Lamp Post - 2002 Remaster,Herman's Hermits,"british invasion,classic rock,folk rock,rock-and-roll,singer-songwriter",2008-08-04,154253,11,0.619,0.654,0.0,0.0919,0.969,128.357,4.0
Fast Fuse,Kasabian,"britpop,garage rock,leicester indie,modern rock,rock",2009,249946,49,0.363,0.991,6.0,0.0792,0.476,175.064,4.0
Good Clean Fun,The Monkees,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",1969-10-01,135800,16,0.582,0.836,11.0,0.248,0.915,110.563,4.0
Hold Me Now,Thompson Twins,"new romantic,new wave,new wave pop,synthpop",1988,429173,17,0.871,0.491,7.0,0.12,0.73,107.92,4.0
A Hundred Pounds Of Clay - 1995 Digital Remaster,Gene McDaniels,deep adult standards,1995-01-01,143600,22,0.725,0.374,0.0,0.107,0.82,128.569,4.0
Hold My Hand,Jess Glynne,"pop,uk pop",2015,227343,62,0.642,0.823,0.0,0.0776,0.431,122.977,4.0
Rock Lobster,The B-52's,"album rock,classic rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo",1979-07-11,409400,63,0.592,0.882,8.0,0.0506,0.442,92.157,4.0
Hole In My Shoe,Traffic,"art rock,blues rock,british blues,classic rock,country rock,electric blues,folk,folk rock,heartland rock,mellow gold,progressive rock,psychedelic rock,roots rock,symphonic rock",1967-12-08,181266,37,0.493,0.721,11.0,0.0713,0.334,101.666,4.0
Fine Again,Seether,"alternative metal,nu metal,post-grunge,south african rock",2002-01-01,243640,70,0.442,0.855,6.0,0.273,0.363,175.543,4.0
Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams","atl hip hop,dance pop,pop rap,rap,southern hip hop,art pop",2016-10-14,179800,40,0.66,0.846,6.0,0.0459,0.417,93.027,4.0
Holy Water,"Besomorph, Lucifer","alt z,dark r&b,slap house,traprun,covertronica",2022-03-18,136585,0,0.785,0.749,8.0,0.399,0.405,122.915,4.0
How Deep Is Your Love,Bee Gees,"disco,mellow gold,soft rock",2020-12-11,241093,74,0.594,0.5,5.0,0.184,0.537,104.996,4.0
Stayin' Alive,Bee Gees,"disco,mellow gold,soft rock",1990-10-01,281666,58,0.708,0.567,10.0,0.152,0.955,103.606,4.0
Dare Me,The Pointer Sisters,"disco,girl group,hi-nrg,motown,new wave pop,soft rock",1985-02-01,259120,47,0.71,0.917,4.0,0.18,0.944,109.641,4.0
This Is How We Do,Katy Perry,pop,2013-01-01,204285,0,0.686,0.633,9.0,0.0831,0.8,96.027,4.0
Black Betty,Ram Jam,southern rock,1977-06-20,238973,75,0.465,0.907,11.0,0.13,0.681,117.293,4.0
11th Dimension,Julian Casablancas,indie rock,2009-10-30,243333,57,0.574,0.925,6.0,0.115,0.369,125.501,4.0
Stay (feat. Maty Noyes),"Kygo, Maty Noyes","edm,pop,pop dance,tropical house,alt z",2016-05-13,239465,68,0.648,0.736,8.0,0.171,0.378,103.027,4.0
A Song for You,Dami Im,"australian pop,australian talent show,talent show",2016-04-22,217693,19,0.468,0.445,7.0,0.0839,0.19,127.434,4.0
"Hey, Soul Sister",Train,"dance pop,neo mellow,pop,pop rock",2009-08-06,216666,0,0.675,0.885,1.0,0.086,0.768,97.03,4.0
Hurdy Gurdy Man,Donovan,"british folk,british invasion,classic rock,folk,folk rock,glam rock,psychedelic folk,psychedelic rock,scottish singer-songwriter,singer-songwriter",1968-10,193466,59,0.405,0.463,0.0,0.392,0.542,79.451,4.0
That's How You Know (feat. Kid Ink & Bebe Rexha),"Nico & Vinz, Kid Ink, Bebe Rexha","afrobeats,pop rap,rap,southern hip hop,trap,dance pop,pop",2015-07-17,186443,58,0.769,0.437,1.0,0.116,0.737,103.921,4.0
Never Be Amazing,David Franj,,2003,285666,7,0.584,0.751,6.0,0.0779,0.532,103.947,4.0
Therefore I Am,Billie Eilish,"art pop,electropop,pop",2020-11-12,174321,76,0.889,0.34,11.0,0.055,0.716,94.009,4.0
Superstar (feat. Matthew Santos),"Lupe Fiasco, Matthew Santos","chicago rap,conscious hip hop,hip hop,political hip hop,pop rap,rap,southern hip hop",2007-01-01,289000,67,0.572,0.822,11.0,0.359,0.472,94.812,4.0
Me Too,Meghan Trainor,"hip pop,pop",2016-05-13,181240,54,0.935,0.694,11.0,0.479,0.834,123.824,4.0
New Boy,Samantha Jade,"australian pop,australian talent show",2020-11-20,195979,35,0.617,0.456,6.0,0.0471,0.75,104.772,4.0
The Story,Brandi Carlile,"acoustic pop,ectofolk,folk,indie folk,lilith,modern folk rock,new americana",2007-04-03,238493,69,0.544,0.5,11.0,0.109,0.177,93.621,4.0
I'm Not Your Toy,La Roux,"alternative dance,electropop,neo-synthpop",2009,198093,0,0.719,0.764,1.0,0.361,0.961,124.05,4.0
"Hey, Soul Sister",Train,"dance pop,neo mellow,pop,pop rock",2010-12-01,216773,86,0.673,0.886,1.0,0.0826,0.795,97.012,4.0
Super Freak,Rick James,"disco,funk,motown,quiet storm,soul,synth funk",1981-04-07,205466,75,0.838,0.794,9.0,0.0575,0.962,132.446,4.0
I Bet,Ciara,"dance pop,hip pop,pop,r&b,urban contemporary",2015-01-26,287850,48,0.739,0.616,8.0,0.0759,0.341,129.016,4.0
I Want It All - Single Version,Queen,"classic rock,glam rock,rock",1989-05-22,242093,10,0.406,0.847,11.0,0.375,0.379,92.245,4.0
Lotta Love,Nicolette Larson,yacht rock,1978,191773,60,0.646,0.406,5.0,0.27,0.895,113.708,4.0
Water Under The Bridge,Adele,"british soul,pop,pop soul,uk pop",2015-11-20,240439,0,0.59,0.833,5.0,0.105,0.537,94.963,4.0
Just Can’t Get Enough,Black Eyed Peas,"dance pop,pop,pop rap",2010-01-01,219426,0,0.482,0.661,0.0,0.0804,0.246,94.001,4.0
To All the Girls I've Loved Before (with Willie Nelson),"Julio Iglesias, Willie Nelson","latin pop,classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter",2015-01-01,211493,33,0.516,0.484,6.0,0.083,0.355,82.304,4.0
God Put a Smile upon Your Face,Coldplay,"permanent wave,pop",2002-08-08,297306,69,0.611,0.556,9.0,0.0359,0.252,126.532,4.0
Superwoman,Alicia Keys,"neo soul,pop,r&b",2007-11-09,274106,0,0.553,0.495,0.0,0.125,0.126,81.068,4.0
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley, Jennifer Warnes",soft rock,2012-09-21,288986,43,0.698,0.81,6.0,0.06,0.39,108.695,4.0
Crimson and Clover,Joan Jett & the Blackhearts,"glam punk,rock",2013-02-05,197426,0,0.181,0.745,0.0,0.113,0.656,166.232,4.0
Listen People,Herman's Hermits,"british invasion,classic rock,folk rock,rock-and-roll,singer-songwriter",1996-03-06,151066,21,0.499,0.156,9.0,0.351,0.439,119.553,4.0
The Creeps (Radio Edit),"Camille Jones, Fedde Le Grand","dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house",2011-12-19,150253,45,0.858,0.866,1.0,0.0627,0.744,127.924,4.0
Angel Baby,Rosie & The Originals,souldies,1993-01-01,227624,0,0.351,0.177,0.0,0.113,0.447,196.986,3.0
My Happiness,Powderfinger,"australian alternative rock,australian rock",2000-01-01,276626,65,0.445,0.823,0.0,0.43,0.487,85.935,4.0
Wish You Were Here,Delta Goodrem,"australian pop,australian talent show",2012-10-26,276853,36,0.489,0.472,2.0,0.16,0.363,104.977,4.0
